"TIME","GEO","FREQUENC","ACL00","DEG_URB","HHTYP","QUANTILE","UNIT","Value","Flag and Footnotes"
"2006","Slovenia","Not in the last 12 months","Cultural activities (cinema, live performances or cultural sites)","Total","Total","Total","Percentage","39.3",""
"2006","Slovenia","Not in the last 12 months","Cultural activities (cinema, live performances or cultural sites)","Total","Total","First quintile","Percentage","61.3",""
"2006","Slovenia","Not in the last 12 months","Cultural activities (cinema, live performances or cultural sites)","Total","Total","Second quintile","Percentage","48.5",""
"2006","Slovenia","Not in the last 12 months","Cultural activities (cinema, live performances or cultural sites)","Total","Total","Third quintile","Percentage","39.9",""
"2006","Slovenia","Not in the last 12 months","Cultural activities (cinema, live performances or cultural sites)","Total","Total","Fourth quintile","Percentage","30.6",""
"2006","Slovenia","Not in the last 12 months","Cultural activities (cinema, live performances or cultural sites)","Total","Total","Fifth quintile","Percentage","17.5",""
"2006","Slovenia","Not in the last 12 months","Cultural activities (cinema, live performances or cultural sites)","Total","Households without dependent children","Total","Percentage","47.7",""
"2006","Slovenia","Not in the last 12 months","Cultural activities (cinema, live performances or cultural sites)","Total","Households without dependent children","First quintile","Percentage","69.0",""
"2006","Slovenia","Not in the last 12 months","Cultural activities (cinema, live performances or cultural sites)","Total","Households without dependent children","Second quintile","Percentage","58.0",""
"2006","Slovenia","Not in the last 12 months","Cultural activities (cinema, live performances or cultural sites)","Total","Households without dependent children","Third quintile","Percentage","49.8",""
"2006","Slovenia","Not in the last 12 months","Cultural activities (cinema, live performances or cultural sites)","Total","Households without dependent children","Fourth quintile","Percentage","40.2",""
"2006","Slovenia","Not in the last 12 months","Cultural activities (cinema, live performances or cultural sites)","Total","Households without dependent children","Fifth quintile","Percentage","21.0",""
"2006","Slovenia","Not in the last 12 months","Cultural activities (cinema, live performances or cultural sites)","Total","Households with dependent children","Total","Percentage","31.0",""
"2006","Slovenia","Not in the last 12 months","Cultural activities (cinema, live performances or cultural sites)","Total","Households with dependent children","First quintile","Percentage","50.7",""
"2006","Slovenia","Not in the last 12 months","Cultural activities (cinema, live performances or cultural sites)","Total","Households with dependent children","Second quintile","Percentage","40.4",""
"2006","Slovenia","Not in the last 12 months","Cultural activities (cinema, live performances or cultural sites)","Total","Households with dependent children","Third quintile","Percentage","31.4",""
"2006","Slovenia","Not in the last 12 months","Cultural activities (cinema, live performances or cultural sites)","Total","Households with dependent children","Fourth quintile","Percentage","21.7",""
"2006","Slovenia","Not in the last 12 months","Cultural activities (cinema, live performances or cultural sites)","Total","Households with dependent children","Fifth quintile","Percentage","13.8",""
"2006","Slovenia","Not in the last 12 months","Cultural activities (cinema, live performances or cultural sites)","Cities","Total","Total","Percentage","31.3",""
"2006","Slovenia","Not in the last 12 months","Cultural activities (cinema, live performances or cultural sites)","Cities","Total","First quintile","Percentage","51.8",""
"2006","Slovenia","Not in the last 12 months","Cultural activities (cinema, live performances or cultural sites)","Cities","Total","Second quintile","Percentage","45.4",""
"2006","Slovenia","Not in the last 12 months","Cultural activities (cinema, live performances or cultural sites)","Cities","Total","Third quintile","Percentage","37.9",""
"2006","Slovenia","Not in the last 12 months","Cultural activities (cinema, live performances or cultural sites)","Cities","Total","Fourth quintile","Percentage","20.5",""
"2006","Slovenia","Not in the last 12 months","Cultural activities (cinema, live performances or cultural sites)","Cities","Total","Fifth quintile","Percentage","14.7",""
"2006","Slovenia","Not in the last 12 months","Cultural activities (cinema, live performances or cultural sites)","Cities","Households without dependent children","Total","Percentage","38.0",""
"2006","Slovenia","Not in the last 12 months","Cultural activities (cinema, live performances or cultural sites)","Cities","Households without dependent children","First quintile","Percentage","59.7",""
"2006","Slovenia","Not in the last 12 months","Cultural activities (cinema, live performances or cultural sites)","Cities","Households without dependent children","Second quintile","Percentage","51.0",""
"2006","Slovenia","Not in the last 12 months","Cultural activities (cinema, live performances or cultural sites)","Cities","Households without dependent children","Third quintile","Percentage","46.8",""
"2006","Slovenia","Not in the last 12 months","Cultural activities (cinema, live performances or cultural sites)","Cities","Households without dependent children","Fourth quintile","Percentage","29.2",""
"2006","Slovenia","Not in the last 12 months","Cultural activities (cinema, live performances or cultural sites)","Cities","Households without dependent children","Fifth quintile","Percentage","17.2",""
"2006","Slovenia","Not in the last 12 months","Cultural activities (cinema, live performances or cultural sites)","Cities","Households with dependent children","Total","Percentage","22.9",""
"2006","Slovenia","Not in the last 12 months","Cultural activities (cinema, live performances or cultural sites)","Cities","Households with dependent children","First quintile","Percentage","40.2",""
"2006","Slovenia","Not in the last 12 months","Cultural activities (cinema, live performances or cultural sites)","Cities","Households with dependent children","Second quintile","Percentage","38.8",""
"2006","Slovenia","Not in the last 12 months","Cultural activities (cinema, live performances or cultural sites)","Cities","Households with dependent children","Third quintile","Percentage","25.1",""
"2006","Slovenia","Not in the last 12 months","Cultural activities (cinema, live performances or cultural sites)","Cities","Households with dependent children","Fourth quintile","Percentage","11.7",""
"2006","Slovenia","Not in the last 12 months","Cultural activities (cinema, live performances or cultural sites)","Cities","Households with dependent children","Fifth quintile","Percentage","11.7",""
"2006","Slovenia","Not in the last 12 months","Cultural activities (cinema, live performances or cultural sites)","Towns and suburbs","Total","Total","Percentage","36.1",""
"2006","Slovenia","Not in the last 12 months","Cultural activities (cinema, live performances or cultural sites)","Towns and suburbs","Total","First quintile","Percentage","57.0",""
