"REASON","GEO","ACL00","QUANTILE","DEG_URB","HHTYP","TIME","UNIT","Value","Flag and Footnotes"
"Financial reasons","Belgium","Cinema","Total","Total","Total","2015","Percentage","15.0",""
"Financial reasons","Belgium","Cinema","First quintile","Total","Total","2015","Percentage","33.7",""
"Financial reasons","Belgium","Cinema","Second quintile","Total","Total","2015","Percentage","14.9",""
"Financial reasons","Belgium","Cinema","Third quintile","Total","Total","2015","Percentage","6.3",""
"Financial reasons","Belgium","Cinema","Fourth quintile","Total","Total","2015","Percentage","4.2",""
"Financial reasons","Belgium","Cinema","Fifth quintile","Total","Total","2015","Percentage","1.8",""
"Financial reasons","Belgium","Live performances (theatre, concerts, ballet)","Total","Total","Total","2015","Percentage","14.4",""
"Financial reasons","Belgium","Live performances (theatre, concerts, ballet)","First quintile","Total","Total","2015","Percentage","30.0",""
"Financial reasons","Belgium","Live performances (theatre, concerts, ballet)","Second quintile","Total","Total","2015","Percentage","14.5",""
"Financial reasons","Belgium","Live performances (theatre, concerts, ballet)","Third quintile","Total","Total","2015","Percentage","6.9",""
"Financial reasons","Belgium","Live performances (theatre, concerts, ballet)","Fourth quintile","Total","Total","2015","Percentage","5.2",""
"Financial reasons","Belgium","Live performances (theatre, concerts, ballet)","Fifth quintile","Total","Total","2015","Percentage","2.5",""
"Financial reasons","Belgium","Cultural sites (historical monuments, museums, art galleries or archaeological sites)","Total","Total","Total","2015","Percentage","11.6",""
"Financial reasons","Belgium","Cultural sites (historical monuments, museums, art galleries or archaeological sites)","First quintile","Total","Total","2015","Percentage","25.9",""
"Financial reasons","Belgium","Cultural sites (historical monuments, museums, art galleries or archaeological sites)","Second quintile","Total","Total","2015","Percentage","11.0",""
"Financial reasons","Belgium","Cultural sites (historical monuments, museums, art galleries or archaeological sites)","Third quintile","Total","Total","2015","Percentage","5.5",""
"Financial reasons","Belgium","Cultural sites (historical monuments, museums, art galleries or archaeological sites)","Fourth quintile","Total","Total","2015","Percentage","2.8",""
"Financial reasons","Belgium","Cultural sites (historical monuments, museums, art galleries or archaeological sites)","Fifth quintile","Total","Total","2015","Percentage","2.4",""
"Financial reasons","Belgium","Sports events","Total","Total","Total","2015","Percentage","8.1",""
"Financial reasons","Belgium","Sports events","First quintile","Total","Total","2015","Percentage","21.2",""
"Financial reasons","Belgium","Sports events","Second quintile","Total","Total","2015","Percentage","8.4",""
"Financial reasons","Belgium","Sports events","Third quintile","Total","Total","2015","Percentage","3.6",""
"Financial reasons","Belgium","Sports events","Fourth quintile","Total","Total","2015","Percentage","1.6",""
"Financial reasons","Belgium","Sports events","Fifth quintile","Total","Total","2015","Percentage","1.2",""
"Financial reasons","Bulgaria","Cinema","Total","Total","Total","2015","Percentage","18.9",""
"Financial reasons","Bulgaria","Cinema","First quintile","Total","Total","2015","Percentage","29.1",""
"Financial reasons","Bulgaria","Cinema","Second quintile","Total","Total","2015","Percentage","20.8",""
"Financial reasons","Bulgaria","Cinema","Third quintile","Total","Total","2015","Percentage","17.5",""
"Financial reasons","Bulgaria","Cinema","Fourth quintile","Total","Total","2015","Percentage","11.9",""
"Financial reasons","Bulgaria","Cinema","Fifth quintile","Total","Total","2015","Percentage","9.8",""
"Financial reasons","Bulgaria","Live performances (theatre, concerts, ballet)","Total","Total","Total","2015","Percentage","19.4",""
"Financial reasons","Bulgaria","Live performances (theatre, concerts, ballet)","First quintile","Total","Total","2015","Percentage","28.6",""
"Financial reasons","Bulgaria","Live performances (theatre, concerts, ballet)","Second quintile","Total","Total","2015","Percentage","21.7",""
"Financial reasons","Bulgaria","Live performances (theatre, concerts, ballet)","Third quintile","Total","Total","2015","Percentage","18.1",""
"Financial reasons","Bulgaria","Live performances (theatre, concerts, ballet)","Fourth quintile","Total","Total","2015","Percentage","13.6",""
"Financial reasons","Bulgaria","Live performances (theatre, concerts, ballet)","Fifth quintile","Total","Total","2015","Percentage","10.6",""
"Financial reasons","Bulgaria","Cultural sites (historical monuments, museums, art galleries or archaeological sites)","Total","Total","Total","2015","Percentage","16.4",""
"Financial reasons","Bulgaria","Cultural sites (historical monuments, museums, art galleries or archaeological sites)","First quintile","Total","Total","2015","Percentage","25.1",""
"Financial reasons","Bulgaria","Cultural sites (historical monuments, museums, art galleries or archaeological sites)","Second quintile","Total","Total","2015","Percentage","18.9",""
"Financial reasons","Bulgaria","Cultural sites (historical monuments, museums, art galleries or archaeological sites)","Third quintile","Total","Total","2015","Percentage","15.3",""
"Financial reasons","Bulgaria","Cultural sites (historical monuments, museums, art galleries or archaeological sites)","Fourth quintile","Total","Total","2015","Percentage","12.0",""
"Financial reasons","Bulgaria","Cultural sites (historical monuments, museums, art galleries or archaeological sites)","Fifth quintile","Total","Total","2015","Percentage","7.9",""
"Financial reasons","Bulgaria","Sports events","Total","Total","Total","2015","Percentage","15.6",""
"Financial reasons","Bulgaria","Sports events","First quintile","Total","Total","2015","Percentage","25.6",""
"Financial reasons","Bulgaria","Sports events","Second quintile","Total","Total","2015","Percentage","17.6",""
"Financial reasons","Bulgaria","Sports events","Third quintile","Total","Total","2015","Percentage","13.5",""
"Financial reasons","Bulgaria","Sports events","Fourth quintile","Total","Total","2015","Percentage","10.4",""
"Financial reasons","Bulgaria","Sports events","Fifth quintile","Total","Total","2015","Percentage","7.5",""
"Financial reasons","Czechia","Cinema","Total","Total","Total","2015","Percentage","9.4",""
"Financial reasons","Czechia","Cinema","First quintile","Total","Total","2015","Percentage","22.9",""
"Financial reasons","Czechia","Cinema","Second quintile","Total","Total","2015","Percentage","7.1",""
"Financial reasons","Czechia","Cinema","Third quintile","Total","Total","2015","Percentage","5.1",""
"Financial reasons","Czechia","Cinema","Fourth quintile","Total","Total","2015","Percentage","3.7",""
"Financial reasons","Czechia","Cinema","Fifth quintile","Total","Total","2015","Percentage","1.2",""
"Financial reasons","Czechia","Live performances (theatre, concerts, ballet)","Total","Total","Total","2015","Percentage","10.8",""
"Financial reasons","Czechia","Live performances (theatre, concerts, ballet)","First quintile","Total","Total","2015","Percentage","25.9",""
"Financial reasons","Czechia","Live performances (theatre, concerts, ballet)","Second quintile","Total","Total","2015","Percentage","8.4",""
"Financial reasons","Czechia","Live performances (theatre, concerts, ballet)","Third quintile","Total","Total","2015","Percentage","5.4",""
"Financial reasons","Czechia","Live performances (theatre, concerts, ballet)","Fourth quintile","Total","Total","2015","Percentage","4.8",""
"Financial reasons","Czechia","Live performances (theatre, concerts, ballet)","Fifth quintile","Total","Total","2015","Percentage","2.1",""
"Financial reasons","Czechia","Cultural sites (historical monuments, museums, art galleries or archaeological sites)","Total","Total","Total","2015","Percentage","10.4",""
"Financial reasons","Czechia","Cultural sites (historical monuments, museums, art galleries or archaeological sites)","First quintile","Total","Total","2015","Percentage","22.8",""
"Financial reasons","Czechia","Cultural sites (historical monuments, museums, art galleries or archaeological sites)","Second quintile","Total","Total","2015","Percentage","8.6",""
"Financial reasons","Czechia","Cultural sites (historical monuments, museums, art galleries or archaeological sites)","Third quintile","Total","Total","2015","Percentage","5.3",""
"Financial reasons","Czechia","Cultural sites (historical monuments, museums, art galleries or archaeological sites)","Fourth quintile","Total","Total","2015","Percentage","5.0",""
"Financial reasons","Czechia","Cultural sites (historical monuments, museums, art galleries or archaeological sites)","Fifth quintile","Total","Total","2015","Percentage","2.0",""
"Financial reasons","Czechia","Sports events","Total","Total","Total","2015","Percentage","5.1",""
"Financial reasons","Czechia","Sports events","First quintile","Total","Total","2015","Percentage","13.3",""
"Financial reasons","Czechia","Sports events","Second quintile","Total","Total","2015","Percentage","3.4",""
"Financial reasons","Czechia","Sports events","Third quintile","Total","Total","2015","Percentage","2.4",""
"Financial reasons","Czechia","Sports events","Fourth quintile","Total","Total","2015","Percentage","2.7",""
