"TIME","GEO","FREQUENC","DEG_URB","HHTYP","QUANTILE","UNIT","Value","Flag and Footnotes"
"2015","Slovenia","Not in the last 12 months","Cities","Single person","First quintile","Percentage","57.1",""
"2015","Slovenia","Not in the last 12 months","Cities","Single person","Second quintile","Percentage","49.1",""
"2015","Slovenia","Not in the last 12 months","Cities","Single person","Third quintile","Percentage","22.3","u"
"2015","Slovenia","Not in the last 12 months","Cities","Single person","Fourth quintile","Percentage","18.2","u"
"2015","Slovenia","Not in the last 12 months","Cities","Single person","Fifth quintile","Percentage","8.3",""
"2015","Slovenia","Not in the last 12 months","Cities","Two adults","First quintile","Percentage","46.0",""
"2015","Slovenia","Not in the last 12 months","Cities","Two adults","Second quintile","Percentage","37.4",""
"2015","Slovenia","Not in the last 12 months","Cities","Two adults","Third quintile","Percentage","35.7",""
"2015","Slovenia","Not in the last 12 months","Cities","Two adults","Fourth quintile","Percentage","21.1",""
"2015","Slovenia","Not in the last 12 months","Cities","Two adults","Fifth quintile","Percentage","15.5",""
"2015","Slovenia","Not in the last 12 months","Cities","Two adults with dependent children","First quintile","Percentage","35.0",""
"2015","Slovenia","Not in the last 12 months","Cities","Two adults with dependent children","Second quintile","Percentage","23.5",""
"2015","Slovenia","Not in the last 12 months","Cities","Two adults with dependent children","Third quintile","Percentage","14.1",""
"2015","Slovenia","Not in the last 12 months","Cities","Two adults with dependent children","Fourth quintile","Percentage","5.2",""
"2015","Slovenia","Not in the last 12 months","Cities","Two adults with dependent children","Fifth quintile","Percentage","0.6",""
"2015","Slovenia","Not in the last 12 months","Cities","Three or more adults","First quintile","Percentage","46.4","u"
"2015","Slovenia","Not in the last 12 months","Cities","Three or more adults","Second quintile","Percentage","28.9","u"
"2015","Slovenia","Not in the last 12 months","Cities","Three or more adults","Third quintile","Percentage","25.2","u"
"2015","Slovenia","Not in the last 12 months","Cities","Three or more adults","Fourth quintile","Percentage","20.6","u"
"2015","Slovenia","Not in the last 12 months","Cities","Three or more adults","Fifth quintile","Percentage","17.2",""
"2015","Slovenia","Not in the last 12 months","Cities","Households without dependent children","First quintile","Percentage","52.5",""
"2015","Slovenia","Not in the last 12 months","Cities","Households without dependent children","Second quintile","Percentage","40.7",""
"2015","Slovenia","Not in the last 12 months","Cities","Households without dependent children","Third quintile","Percentage","29.7",""
"2015","Slovenia","Not in the last 12 months","Cities","Households without dependent children","Fourth quintile","Percentage","20.2",""
"2015","Slovenia","Not in the last 12 months","Cities","Households without dependent children","Fifth quintile","Percentage","13.9",""
"2015","Slovenia","Not in the last 12 months","Cities","Households with dependent children","First quintile","Percentage","31.6",""
"2015","Slovenia","Not in the last 12 months","Cities","Households with dependent children","Second quintile","Percentage","21.4",""
"2015","Slovenia","Not in the last 12 months","Cities","Households with dependent children","Third quintile","Percentage","14.1",""
"2015","Slovenia","Not in the last 12 months","Cities","Households with dependent children","Fourth quintile","Percentage","10.6",""
"2015","Slovenia","Not in the last 12 months","Cities","Households with dependent children","Fifth quintile","Percentage","1.2",""
"2015","Slovenia","Not in the last 12 months","Towns and suburbs","Single person","First quintile","Percentage","62.6",""
"2015","Slovenia","Not in the last 12 months","Towns and suburbs","Single person","Second quintile","Percentage","43.3",""
"2015","Slovenia","Not in the last 12 months","Towns and suburbs","Single person","Third quintile","Percentage","24.9","u"
"2015","Slovenia","Not in the last 12 months","Towns and suburbs","Single person","Fourth quintile","Percentage","10.1","u"
"2015","Slovenia","Not in the last 12 months","Towns and suburbs","Single person","Fifth quintile","Percentage","7.8","u"
"2015","Slovenia","Not in the last 12 months","Towns and suburbs","Two adults","First quintile","Percentage","49.8",""
"2015","Slovenia","Not in the last 12 months","Towns and suburbs","Two adults","Second quintile","Percentage","43.4",""
