"REASON","GEO","ACL00","QUANTILE","DEG_URB","HHTYP","TIME","UNIT","Value","Flag and Footnotes"
"Financial reasons","Slovenia","Cinema","Total","Total","Total","2015","Percentage","16.2",""
"Financial reasons","Slovenia","Cinema","Total","Total","Households with dependent children","2015","Percentage","18.7",""
"Financial reasons","Slovenia","Cinema","Total","Total","Households without dependent children","2015","Percentage","14.8",""
"Financial reasons","Slovenia","Cinema","Total","Cities","Total","2015","Percentage","16.1",""
"Financial reasons","Slovenia","Cinema","Total","Cities","Households with dependent children","2015","Percentage","17.8",""
"Financial reasons","Slovenia","Cinema","Total","Cities","Households without dependent children","2015","Percentage","15.3",""
"Financial reasons","Slovenia","Cinema","Total","Towns and suburbs","Total","2015","Percentage","16.4",""
"Financial reasons","Slovenia","Cinema","Total","Towns and suburbs","Households with dependent children","2015","Percentage","20.0",""
"Financial reasons","Slovenia","Cinema","Total","Towns and suburbs","Households without dependent children","2015","Percentage","14.5",""
"Financial reasons","Slovenia","Cinema","Total","Rural areas","Total","2015","Percentage","16.1",""
"Financial reasons","Slovenia","Cinema","Total","Rural areas","Households with dependent children","2015","Percentage","18.1",""
"Financial reasons","Slovenia","Cinema","Total","Rural areas","Households without dependent children","2015","Percentage","14.8",""
"Financial reasons","Slovenia","Cinema","First quintile","Total","Total","2015","Percentage","31.4",""
"Financial reasons","Slovenia","Cinema","First quintile","Total","Households with dependent children","2015","Percentage","36.1",""
"Financial reasons","Slovenia","Cinema","First quintile","Total","Households without dependent children","2015","Percentage","29.2",""
"Financial reasons","Slovenia","Cinema","First quintile","Cities","Total","2015","Percentage","32.6",""
"Financial reasons","Slovenia","Cinema","First quintile","Cities","Households with dependent children","2015","Percentage","30.1",""
"Financial reasons","Slovenia","Cinema","First quintile","Cities","Households without dependent children","2015","Percentage","33.8",""
"Financial reasons","Slovenia","Cinema","First quintile","Towns and suburbs","Total","2015","Percentage","36.2",""
"Financial reasons","Slovenia","Cinema","First quintile","Towns and suburbs","Households with dependent children","2015","Percentage","46.1",""
"Financial reasons","Slovenia","Cinema","First quintile","Towns and suburbs","Households without dependent children","2015","Percentage","31.2",""
"Financial reasons","Slovenia","Cinema","First quintile","Rural areas","Total","2015","Percentage","28.3",""
"Financial reasons","Slovenia","Cinema","First quintile","Rural areas","Households with dependent children","2015","Percentage","32.0",""
"Financial reasons","Slovenia","Cinema","First quintile","Rural areas","Households without dependent children","2015","Percentage","26.6",""
"Financial reasons","Slovenia","Cinema","Second quintile","Total","Total","2015","Percentage","19.1",""
"Financial reasons","Slovenia","Cinema","Second quintile","Total","Households with dependent children","2015","Percentage","24.0",""
"Financial reasons","Slovenia","Cinema","Second quintile","Total","Households without dependent children","2015","Percentage","16.2",""
"Financial reasons","Slovenia","Cinema","Second quintile","Cities","Total","2015","Percentage","17.5",""
"Financial reasons","Slovenia","Cinema","Second quintile","Cities","Households with dependent children","2015","Percentage","22.8",""
"Financial reasons","Slovenia","Cinema","Second quintile","Cities","Households without dependent children","2015","Percentage","14.6",""
"Financial reasons","Slovenia","Cinema","Second quintile","Towns and suburbs","Total","2015","Percentage","19.1",""
"Financial reasons","Slovenia","Cinema","Second quintile","Towns and suburbs","Households with dependent children","2015","Percentage","26.9",""
"Financial reasons","Slovenia","Cinema","Second quintile","Towns and suburbs","Households without dependent children","2015","Percentage","14.9",""
"Financial reasons","Slovenia","Cinema","Second quintile","Rural areas","Total","2015","Percentage","19.7",""
"Financial reasons","Slovenia","Cinema","Second quintile","Rural areas","Households with dependent children","2015","Percentage","22.8",""
"Financial reasons","Slovenia","Cinema","Second quintile","Rural areas","Households without dependent children","2015","Percentage","17.5",""
"Financial reasons","Slovenia","Cinema","Third quintile","Total","Total","2015","Percentage","12.6",""
"Financial reasons","Slovenia","Cinema","Third quintile","Total","Households with dependent children","2015","Percentage","14.4",""
"Financial reasons","Slovenia","Cinema","Third quintile","Total","Households without dependent children","2015","Percentage","11.4",""
"Financial reasons","Slovenia","Cinema","Third quintile","Cities","Total","2015","Percentage","12.5",""
"Financial reasons","Slovenia","Cinema","Third quintile","Cities","Households with dependent children","2015","Percentage","16.8",""
"Financial reasons","Slovenia","Cinema","Third quintile","Cities","Households without dependent children","2015","Percentage","10.3",""
"Financial reasons","Slovenia","Cinema","Third quintile","Towns and suburbs","Total","2015","Percentage","11.0",""
"Financial reasons","Slovenia","Cinema","Third quintile","Towns and suburbs","Households with dependent children","2015","Percentage","11.2",""
"Financial reasons","Slovenia","Cinema","Third quintile","Towns and suburbs","Households without dependent children","2015","Percentage","10.8",""
"Financial reasons","Slovenia","Cinema","Third quintile","Rural areas","Total","2015","Percentage","13.6",""
"Financial reasons","Slovenia","Cinema","Third quintile","Rural areas","Households with dependent children","2015","Percentage","15.5",""
"Financial reasons","Slovenia","Cinema","Third quintile","Rural areas","Households without dependent children","2015","Percentage","12.1",""
"Financial reasons","Slovenia","Cinema","Fourth quintile","Total","Total","2015","Percentage","6.7",""
"Financial reasons","Slovenia","Cinema","Fourth quintile","Total","Households with dependent children","2015","Percentage","7.5",""
"Financial reasons","Slovenia","Cinema","Fourth quintile","Total","Households without dependent children","2015","Percentage","6.2",""
"Financial reasons","Slovenia","Cinema","Fourth quintile","Cities","Total","2015","Percentage","8.3",""
"Financial reasons","Slovenia","Cinema","Fourth quintile","Cities","Households with dependent children","2015","Percentage","9.9","u"
"Financial reasons","Slovenia","Cinema","Fourth quintile","Cities","Households without dependent children","2015","Percentage","7.4",""
"Financial reasons","Slovenia","Cinema","Fourth quintile","Towns and suburbs","Total","2015","Percentage","5.4",""
"Financial reasons","Slovenia","Cinema","Fourth quintile","Towns and suburbs","Households with dependent children","2015","Percentage","3.6",""
"Financial reasons","Slovenia","Cinema","Fourth quintile","Towns and suburbs","Households without dependent children","2015","Percentage","6.4",""
"Financial reasons","Slovenia","Cinema","Fourth quintile","Rural areas","Total","2015","Percentage","7.1",""
"Financial reasons","Slovenia","Cinema","Fourth quintile","Rural areas","Households with dependent children","2015","Percentage","9.0",""
"Financial reasons","Slovenia","Cinema","Fourth quintile","Rural areas","Households without dependent children","2015","Percentage","5.7",""
"Financial reasons","Slovenia","Cinema","Fifth quintile","Total","Total","2015","Percentage","2.2",""
"Financial reasons","Slovenia","Cinema","Fifth quintile","Total","Households with dependent children","2015","Percentage","2.8",""
"Financial reasons","Slovenia","Cinema","Fifth quintile","Total","Households without dependent children","2015","Percentage","2.0",""
"Financial reasons","Slovenia","Cinema","Fifth quintile","Cities","Total","2015","Percentage","1.2",""
"Financial reasons","Slovenia","Cinema","Fifth quintile","Cities","Households with dependent children","2015","Percentage","0","u"
"Financial reasons","Slovenia","Cinema","Fifth quintile","Cities","Households without dependent children","2015","Percentage","1.6",""
"Financial reasons","Slovenia","Cinema","Fifth quintile","Towns and suburbs","Total","2015","Percentage","2.8",""
"Financial reasons","Slovenia","Cinema","Fifth quintile","Towns and suburbs","Households with dependent children","2015","Percentage","2.1",""
"Financial reasons","Slovenia","Cinema","Fifth quintile","Towns and suburbs","Households without dependent children","2015","Percentage","3.1",""
"Financial reasons","Slovenia","Cinema","Fifth quintile","Rural areas","Total","2015","Percentage","2.1",""
"Financial reasons","Slovenia","Cinema","Fifth quintile","Rural areas","Households with dependent children","2015","Percentage","4.2",""
"Financial reasons","Slovenia","Cinema","Fifth quintile","Rural areas","Households without dependent children","2015","Percentage","1.1",""
"Financial reasons","Slovenia","Live performances (theatre, concerts, ballet)","Total","Total","Total","2015","Percentage","23.0",""
"Financial reasons","Slovenia","Live performances (theatre, concerts, ballet)","Total","Total","Households with dependent children","2015","Percentage","25.4",""
"Financial reasons","Slovenia","Live performances (theatre, concerts, ballet)","Total","Total","Households without dependent children","2015","Percentage","21.6",""
"Financial reasons","Slovenia","Live performances (theatre, concerts, ballet)","Total","Cities","Total","2015","Percentage","23.0",""
"Financial reasons","Slovenia","Live performances (theatre, concerts, ballet)","Total","Cities","Households with dependent children","2015","Percentage","24.8",""
"Financial reasons","Slovenia","Live performances (theatre, concerts, ballet)","Total","Cities","Households without dependent children","2015","Percentage","22.1",""
"Financial reasons","Slovenia","Live performances (theatre, concerts, ballet)","Total","Towns and suburbs","Total","2015","Percentage","24.6",""
"Financial reasons","Slovenia","Live performances (theatre, concerts, ballet)","Total","Towns and suburbs","Households with dependent children","2015","Percentage","26.2",""
"Financial reasons","Slovenia","Live performances (theatre, concerts, ballet)","Total","Towns and suburbs","Households without dependent children","2015","Percentage","23.9",""
"Financial reasons","Slovenia","Live performances (theatre, concerts, ballet)","Total","Rural areas","Total","2015","Percentage","21.9",""
"Financial reasons","Slovenia","Live performances (theatre, concerts, ballet)","Total","Rural areas","Households with dependent children","2015","Percentage","25.1",""
"Financial reasons","Slovenia","Live performances (theatre, concerts, ballet)","Total","Rural areas","Households without dependent children","2015","Percentage","20.0",""
"Financial reasons","Slovenia","Live performances (theatre, concerts, ballet)","First quintile","Total","Total","2015","Percentage","35.8",""
